Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,22:24:54,0.126
12/2/2022,22:24:55,0.184
12/2/2022,22:24:56,0.122
12/2/2022,22:24:57,0.157
12/2/2022,22:24:58,0.2
12/2/2022,22:24:59,0.15
12/2/2022,22:25:00,0.137
12/2/2022,22:25:01,0.129
12/2/2022,22:25:02,0.128
12/2/2022,22:25:03,0.113
12/2/2022,22:25:04,0.136
12/2/2022,22:25:05,0.133
12/2/2022,22:25:06,0.139
12/2/2022,22:25:07,0.174
12/2/2022,22:25:08,0.137
12/2/2022,22:25:09,0.138
12/2/2022,22:25:10,0.141
12/2/2022,22:25:11,0.158
12/2/2022,22:25:12,0.141
12/2/2022,22:25:13,0.127
12/2/2022,22:25:14,0.146
12/2/2022,22:25:15,0.131
12/2/2022,22:25:16,0.184
12/2/2022,22:25:17,0.284
12/2/2022,22:25:18,0.167
12/2/2022,22:25:19,0.144
12/2/2022,22:25:20,0.148
12/2/2022,22:25:21,0.168
12/2/2022,22:25:22,0.149
12/2/2022,22:25:23,0.206
12/2/2022,22:25:24,0.138
12/2/2022,22:25:25,0.162
12/2/2022,22:25:26,0.162
12/2/2022,22:25:27,0.169
12/2/2022,22:25:28,0.178
12/2/2022,22:25:29,0.155
12/2/2022,22:25:30,0.213
12/2/2022,22:25:31,0.159
12/2/2022,22:25:32,0.153
12/2/2022,22:25:33,0.13
12/2/2022,22:25:34,0.16
12/2/2022,22:25:35,0.127
12/2/2022,22:25:36,0.145
12/2/2022,22:25:37,0.137
12/2/2022,22:25:38,0.137
12/2/2022,22:25:39,0.143
12/2/2022,22:25:40,0.132
12/2/2022,22:25:41,0.124
12/2/2022,22:25:42,0.129
12/2/2022,22:25:43,0.139
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,23:24:44,0.214
12/2/2022,23:24:45,0.213
12/2/2022,23:24:46,0.229
12/2/2022,23:24:47,0.188
12/2/2022,23:24:48,0.207
12/2/2022,23:24:49,0.206
12/2/2022,23:24:50,0.203
12/2/2022,23:24:51,0.229
12/2/2022,23:24:52,0.217
12/2/2022,23:24:53,0.192
12/2/2022,23:24:54,0.183
12/2/2022,23:24:55,0.19
12/2/2022,23:24:56,0.194
12/2/2022,23:24:57,0.196
12/2/2022,23:24:58,0.21
12/2/2022,23:24:59,0.208
12/2/2022,23:25:00,0.203
12/2/2022,23:25:01,0.206
12/2/2022,23:25:02,0.233
12/2/2022,23:25:03,0.215
12/2/2022,23:25:04,0.186
12/2/2022,23:25:05,0.194
12/2/2022,23:25:06,0.209
12/2/2022,23:25:07,0.207
12/2/2022,23:25:08,0.222
12/2/2022,23:25:09,0.206
12/2/2022,23:25:10,0.225
12/2/2022,23:25:11,0.204
12/2/2022,23:25:12,0.232
12/2/2022,23:25:13,0.227
12/2/2022,23:25:14,0.222
12/2/2022,23:25:15,0.206
12/2/2022,23:25:16,0.205
12/2/2022,23:25:17,0.212
12/2/2022,23:25:18,0.212
12/2/2022,23:25:19,0.208
12/2/2022,23:25:20,0.255
12/2/2022,23:25:21,0.221
12/2/2022,23:25:22,0.224
12/2/2022,23:25:23,0.205
12/2/2022,23:25:24,0.197
12/2/2022,23:25:25,0.186
12/2/2022,23:25:26,0.2
12/2/2022,23:25:27,0.192
12/2/2022,23:25:28,0.178
12/2/2022,23:25:29,0.21
12/2/2022,23:25:30,0.184
12/2/2022,23:25:31,0.193
12/2/2022,23:25:32,0.204
12/2/2022,23:25:33,0.181
12/2/2022,23:25:34,0.178
12/2/2022,23:25:35,0.193
12/2/2022,23:25:36,0.263
12/2/2022,23:25:37,0.16
12/2/2022,23:25:38,0.184
