TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,07/02/2021
Start Time:,11:59:01
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.025
,Minimum:,0
,Time of Minimum:,11:59:28
,Date of Minimum:,07/02/2021
,Maximum:,0.089
,Time of Maximum:,11:59:18
,Date of Maximum:,07/02/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/02/2021
07/02/2021,16:59:03,0.015
07/02/2021,16:59:04,0.019
07/02/2021,16:59:05,0.021
07/02/2021,16:59:06,0.037
07/02/2021,16:59:07,0.026
07/02/2021,16:59:08,0.032
07/02/2021,16:59:09,0.033
07/02/2021,16:59:10,0.056
07/02/2021,16:59:11,0.035
07/02/2021,16:59:12,0.044
07/02/2021,16:59:13,0.034
07/02/2021,16:59:14,0.035
07/02/2021,16:59:15,0.033
07/02/2021,16:59:16,0.037
07/02/2021,16:59:17,0.025
07/02/2021,16:59:18,0.017
07/02/2021,16:59:19,0.016
07/02/2021,16:59:20,0.033
07/02/2021,16:59:21,0.021
07/02/2021,16:59:22,0.032
07/02/2021,16:59:23,0.022
07/02/2021,16:59:24,0.028
07/02/2021,16:59:25,0.032
07/02/2021,16:59:26,0.038
07/02/2021,16:59:27,0.033
07/02/2021,16:59:28,0.045
07/02/2021,16:59:29,0.035
07/02/2021,16:59:30,0.036
07/02/2021,16:59:31,0.034
07/02/2021,16:59:32,0.034
07/02/2021,16:59:33,0.021
07/02/2021,16:59:34,0.023
07/02/2021,16:59:35,0.023
07/02/2021,16:59:36,0.017
07/02/2021,16:59:37,0.019
07/02/2021,16:59:38,0.033
07/02/2021,16:59:39,0.018
07/02/2021,16:59:40,0.022
07/02/2021,16:59:41,0.023
07/02/2021,16:59:42,0.033
07/02/2021,16:59:43,0.025
07/02/2021,16:59:44,0.03
07/02/2021,16:59:45,0.036
07/02/2021,16:59:46,0.033
07/02/2021,16:59:47,0.043
07/02/2021,16:59:48,0.045
07/02/2021,16:59:49,0.062
07/02/2021,16:59:50,0.049
07/02/2021,16:59:51,0.041
07/02/2021,16:59:52,0.05
07/02/2021,16:59:53,0.04
07/02/2021,16:59:54,0.042
07/02/2021,16:59:55,0.035
07/02/2021,16:59:56,0.029
07/02/2021,16:59:57,0.031
07/02/2021,16:59:58,0.04
07/02/2021,16:59:59,0.033
07/02/2021,17:00:00,0.031
07/02/2021,17:00:01,0.024
07/02/2021,17:00:02,0.022

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 7
Start Date:,07/02/2021
Start Time:,05:59:02
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.068
,Minimum:,0.05
,Time of Minimum:,06:00:01
,Date of Minimum:,07/02/2021
,Maximum:,0.109
,Time of Maximum:,05:59:10
,Date of Maximum:,07/02/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/02/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/02/2021,17:59:03,0.059
07/02/2021,17:59:04,0.068
07/02/2021,17:59:05,0.07
07/02/2021,17:59:06,0.062
07/02/2021,17:59:07,0.066
07/02/2021,17:59:08,0.07
07/02/2021,17:59:09,0.07
07/02/2021,17:59:10,0.109
07/02/2021,17:59:11,0.072
07/02/2021,17:59:12,0.063
07/02/2021,17:59:13,0.098
07/02/2021,17:59:14,0.061
07/02/2021,17:59:15,0.071
07/02/2021,17:59:16,0.076
07/02/2021,17:59:17,0.066
07/02/2021,17:59:18,0.085
07/02/2021,17:59:19,0.063
07/02/2021,17:59:20,0.06
07/02/2021,17:59:21,0.064
07/02/2021,17:59:22,0.068
07/02/2021,17:59:23,0.072
07/02/2021,17:59:24,0.069
07/02/2021,17:59:25,0.07
07/02/2021,17:59:26,0.064
07/02/2021,17:59:27,0.08
07/02/2021,17:59:28,0.058
07/02/2021,17:59:29,0.069
07/02/2021,17:59:30,0.068
07/02/2021,17:59:31,0.063
07/02/2021,17:59:32,0.065
07/02/2021,17:59:33,0.062
07/02/2021,17:59:34,0.057
07/02/2021,17:59:35,0.066
07/02/2021,17:59:36,0.067
07/02/2021,17:59:37,0.07
07/02/2021,17:59:38,0.071
07/02/2021,17:59:39,0.077
07/02/2021,17:59:40,0.071
07/02/2021,17:59:41,0.062
07/02/2021,17:59:42,0.062
07/02/2021,17:59:43,0.078
07/02/2021,17:59:44,0.073
07/02/2021,17:59:45,0.06
07/02/2021,17:59:46,0.071
07/02/2021,17:59:47,0.058
07/02/2021,17:59:48,0.063
07/02/2021,17:59:49,0.056
07/02/2021,17:59:50,0.071
07/02/2021,17:59:51,0.068
07/02/2021,17:59:52,0.078
07/02/2021,17:59:53,0.078
07/02/2021,17:59:54,0.069
07/02/2021,17:59:55,0.071
07/02/2021,17:59:56,0.061
07/02/2021,17:59:57,0.064
07/02/2021,17:59:58,0.055
07/02/2021,17:59:59,0.086
07/02/2021,18:00:00,0.062
07/02/2021,18:00:01,0.05
07/02/2021,18:00:02,0.057

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 8
Start Date:,07/02/2021
Start Time:,06:59:02
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.048
,Minimum:,0.031
,Time of Minimum:,06:59:48
,Date of Minimum:,07/02/2021
,Maximum:,0.077
,Time of Maximum:,06:59:39
,Date of Maximum:,07/02/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/02/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/02/2021,18:59:03,0.052
07/02/2021,18:59:04,0.052
07/02/2021,18:59:05,0.056
07/02/2021,18:59:06,0.062
07/02/2021,18:59:07,0.05
07/02/2021,18:59:08,0.069
07/02/2021,18:59:09,0.051
07/02/2021,18:59:10,0.049
07/02/2021,18:59:11,0.044
07/02/2021,18:59:12,0.042
07/02/2021,18:59:13,0.039
07/02/2021,18:59:14,0.037
07/02/2021,18:59:15,0.041
07/02/2021,18:59:16,0.037
07/02/2021,18:59:17,0.049
07/02/2021,18:59:18,0.044
07/02/2021,18:59:19,0.035
07/02/2021,18:59:20,0.038
07/02/2021,18:59:21,0.035
07/02/2021,18:59:22,0.044
07/02/2021,18:59:23,0.035
07/02/2021,18:59:24,0.038
07/02/2021,18:59:25,0.048
07/02/2021,18:59:26,0.038
07/02/2021,18:59:27,0.052
07/02/2021,18:59:28,0.059
07/02/2021,18:59:29,0.043
07/02/2021,18:59:30,0.064
07/02/2021,18:59:31,0.047
07/02/2021,18:59:32,0.048
07/02/2021,18:59:33,0.047
07/02/2021,18:59:34,0.052
07/02/2021,18:59:35,0.06
07/02/2021,18:59:36,0.062
07/02/2021,18:59:37,0.062
07/02/2021,18:59:38,0.07
07/02/2021,18:59:39,0.077
07/02/2021,18:59:40,0.044
07/02/2021,18:59:41,0.045
07/02/2021,18:59:42,0.056
07/02/2021,18:59:43,0.058
07/02/2021,18:59:44,0.042
07/02/2021,18:59:45,0.037
07/02/2021,18:59:46,0.045
07/02/2021,18:59:47,0.035
07/02/2021,18:59:48,0.031
07/02/2021,18:59:49,0.035
07/02/2021,18:59:50,0.04
07/02/2021,18:59:51,0.051
07/02/2021,18:59:52,0.039
07/02/2021,18:59:53,0.041
07/02/2021,18:59:54,0.039
07/02/2021,18:59:55,0.056
07/02/2021,18:59:56,0.053
07/02/2021,18:59:57,0.054
07/02/2021,18:59:58,0.055
07/02/2021,18:59:59,0.053
07/02/2021,19:00:00,0.053
07/02/2021,19:00:01,0.053
07/02/2021,19:00:02,0.041

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 9
Start Date:,07/02/2021
Start Time:,07:59:02
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.047
,Minimum:,0.025
,Time of Minimum:,07:59:52
,Date of Minimum:,07/02/2021
,Maximum:,0.082
,Time of Maximum:,07:59:38
,Date of Maximum:,07/02/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/02/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/02/2021,19:59:03,0.051
07/02/2021,19:59:04,0.044
